_id,company_address,company_name,name,salary,site_scraping,vacancy_link
5f5b90565007de8d97a4ee6e,Долгопрудный,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460621?query=Python
5f5b90595007de8d97a4ee6f,Домодедово,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460636?query=Python
5f5b905d5007de8d97a4ee72,Раменское,X-LAB,Стажер-разработчик Python,з/п не указана,hh.ru,https://hh.ru/vacancy/38460626?query=Python
5f5b905f5007de8d97a4ee73,Химки,ООО  ФК ПУЛЬС,Ведущий программист Python,з/п не указана,hh.ru,https://hh.ru/vacancy/34847485?query=Python
5f5b90635007de8d97a4ee75,Химки,ООО  ФК ПУЛЬС,Программист Python,з/п не указана,hh.ru,https://hh.ru/vacancy/34847333?query=Python
5f5b90655007de8d97a4ee76,Балашиха,Star-staff,Программист Python,от  90000  до  150000   руб.  на руки,hh.ru,https://hh.ru/vacancy/38992767?query=Python
5f5b910f5007de8d97a4eea5,Москва,Юниоркод,Учитель в школу программирования для детей,50000  —  55000  руб.,superjob.ru,https://russia.superjob.ru/vakansii/uchitel-v-shkolu-programmirovaniya-dlya-detej-34495757.html
5f5b91135007de8d97a4eea6,Зеленоград,ВНИИФТРИ,"Инженер, техник",от  35000руб.,superjob.ru,https://russia.superjob.ru/vakansii/inzhener-33089687.html
5f5b91175007de8d97a4eea7,"Москва, Балтийская улица, 15",Welbex,"Web-программист, Web-разработчик (удалённо)",от  30000руб.,superjob.ru,https://russia.superjob.ru/vakansii/web-programmist-33921626.html
5f5b91175007de8d97a4eea8,Москва,СОГАЗ,Тестировщик,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/testirovschik-34357180.html
5f5b911b5007de8d97a4eea9,"Московская обл., Рузский р-н, поселок Дорохово, Минское шоссе, д. 9",LG Electronics,Инженер-конструктор (TV RnD Product Development Part),от  42300руб.,superjob.ru,https://russia.superjob.ru/vakansii/inzhener-konstruktor-32432613.html
5f5b911d5007de8d97a4eeaa,"Долгопрудный, Институтский переулок, 9",МФТИ,NLP Engineer / NLP инженер,По договорённости,superjob.ru,https://russia.superjob.ru/vakansii/nlp-engineer-33788780.html
